
"2001 census - theme tables"
"ONS Crown Copyright Reserved [from Nomis on 26 December 2020]"
"Analysis   :","standard"
"Date       :","2001"

"row","Essex","Cell"
377,30,"T53:377 (ACCOMMODATION TYPE - Communal Establishment : Sikh )"
378,29,"T53:378 (ACCOMMODATION TYPE - Communal Establishment : Any other religion )"
379,2042,"T53:379 (ACCOMMODATION TYPE - Communal Establishment : No religion )"
380,2412,"T53:380 (ACCOMMODATION TYPE - Communal Establishment : Religion not stated )"
381,9439,"T53:381 (ACCOMMODATION TYPE - Medical and care establishment : ALL PEOPLE )"
382,7012,"T53:382 (ACCOMMODATION TYPE - Medical and care establishment : Christian )"
383,12,"T53:383 (ACCOMMODATION TYPE - Medical and care establishment : Buddhist )"
384,35,"T53:384 (ACCOMMODATION TYPE - Medical and care establishment : Hindu )"
385,42,"T53:385 (ACCOMMODATION TYPE - Medical and care establishment : Jewish )"
386,27,"T53:386 (ACCOMMODATION TYPE - Medical and care establishment : Muslim )"
387,7,"T53:387 (ACCOMMODATION TYPE - Medical and care establishment : Sikh )"
388,6,"T53:388 (ACCOMMODATION TYPE - Medical and care establishment : Any other religion )"
389,508,"T53:389 (ACCOMMODATION TYPE - Medical and care establishment : No religion )"
390,1790,"T53:390 (ACCOMMODATION TYPE - Medical and care establishment : Religion not stated )"
391,7319,"T53:391 (ACCOMMODATION TYPE - Other type of establishment : ALL PEOPLE )"
392,4563,"T53:392 (ACCOMMODATION TYPE - Other type of establishment : Christian )"
393,146,"T53:393 (ACCOMMODATION TYPE - Other type of establishment : Buddhist )"
394,138,"T53:394 (ACCOMMODATION TYPE - Other type of establishment : Hindu )"
395,23,"T53:395 (ACCOMMODATION TYPE - Other type of establishment : Jewish )"
396,247,"T53:396 (ACCOMMODATION TYPE - Other type of establishment : Muslim )"
397,23,"T53:397 (ACCOMMODATION TYPE - Other type of establishment : Sikh )"
398,23,"T53:398 (ACCOMMODATION TYPE - Other type of establishment : Any other religion )"
399,1534,"T53:399 (ACCOMMODATION TYPE - Other type of establishment : No religion )"
400,622,"T53:400 (ACCOMMODATION TYPE - Other type of establishment : Religion not stated )"
401,342217,"T53:401 (QUALIFICATIONS - No qualifications or level unknown : ALL PEOPLE )"
402,273220,"T53:402 (QUALIFICATIONS - No qualifications or level unknown : Christian )"
403,687,"T53:403 (QUALIFICATIONS - No qualifications or level unknown : Buddhist )"
404,617,"T53:404 (QUALIFICATIONS - No qualifications or level unknown : Hindu )"
405,1462,"T53:405 (QUALIFICATIONS - No qualifications or level unknown : Jewish )"
406,1680,"T53:406 (QUALIFICATIONS - No qualifications or level unknown : Muslim )"
407,190,"T53:407 (QUALIFICATIONS - No qualifications or level unknown : Sikh )"
408,800,"T53:408 (QUALIFICATIONS - No qualifications or level unknown : Any other religion )"
409,39519,"T53:409 (QUALIFICATIONS - No qualifications or level unknown : No religion )"
410,24042,"T53:410 (QUALIFICATIONS - No qualifications or level unknown : Religion not stated )"
411,456732,"T53:411 (QUALIFICATIONS - Lower level qualifications : ALL PEOPLE )"
412,331153,"T53:412 (QUALIFICATIONS - Lower level qualifications : Christian )"
413,790,"T53:413 (QUALIFICATIONS - Lower level qualifications : Buddhist )"
414,1273,"T53:414 (QUALIFICATIONS - Lower level qualifications : Hindu )"
415,2409,"T53:415 (QUALIFICATIONS - Lower level qualifications : Jewish )"
416,1914,"T53:416 (QUALIFICATIONS - Lower level qualifications : Muslim )"
417,400,"T53:417 (QUALIFICATIONS - Lower level qualifications : Sikh )"
418,1542,"T53:418 (QUALIFICATIONS - Lower level qualifications : Any other religion )"
419,87723,"T53:419 (QUALIFICATIONS - Lower level qualifications : No religion )"
420,29528,"T53:420 (QUALIFICATIONS - Lower level qualifications : Religion not stated )"
421,146608,"T53:421 (QUALIFICATIONS - Higher level qualifications : ALL PEOPLE )"
422,99851,"T53:422 (QUALIFICATIONS - Higher level qualifications : Christian )"
423,856,"T53:423 (QUALIFICATIONS - Higher level qualifications : Buddhist )"
424,2039,"T53:424 (QUALIFICATIONS - Higher level qualifications : Hindu )"
425,944,"T53:425 (QUALIFICATIONS - Higher level qualifications : Jewish )"
426,1865,"T53:426 (QUALIFICATIONS - Higher level qualifications : Muslim )"
427,413,"T53:427 (QUALIFICATIONS - Higher level qualifications : Sikh )"
428,737,"T53:428 (QUALIFICATIONS - Higher level qualifications : Any other religion )"
429,29693,"T53:429 (QUALIFICATIONS - Higher level qualifications : No religion )"
430,10210,"T53:430 (QUALIFICATIONS - Higher level qualifications : Religion not stated )"
431,365278,"T53:431 (QUALIFICATIONS - Not aged 16 to 74 : ALL PEOPLE )"
432,267334,"T53:432 (QUALIFICATIONS - Not aged 16 to 74 : Christian )"
433,328,"T53:433 (QUALIFICATIONS - Not aged 16 to 74 : Buddhist )"
434,1105,"T53:434 (QUALIFICATIONS - Not aged 16 to 74 : Hindu )"
435,1394,"T53:435 (QUALIFICATIONS - Not aged 16 to 74 : Jewish )"
436,2142,"T53:436 (QUALIFICATIONS - Not aged 16 to 74 : Muslim )"
437,322,"T53:437 (QUALIFICATIONS - Not aged 16 to 74 : Sikh )"
438,409,"T53:438 (QUALIFICATIONS - Not aged 16 to 74 : Any other religion )"
439,58926,"T53:439 (QUALIFICATIONS - Not aged 16 to 74 : No religion )"
440,33318,"T53:440 (QUALIFICATIONS - Not aged 16 to 74 : Religion not stated )"
441,215471,"T53:441 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : ALL PEOPLE )"
442,171649,"T53:442 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : Christian )"
443,333,"T53:443 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : Buddhist )"
444,548,"T53:444 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : Hindu )"
445,988,"T53:445 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : Jewish )"
446,749,"T53:446 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : Muslim )"
447,141,"T53:447 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : Sikh )"
448,876,"T53:448 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : Any other religion )"
449,22102,"T53:449 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : No religion )"
450,18085,"T53:450 (LIMITING LONG-TERM ILLNESS - Has a limiting long-term illness : Religion not stated )"
451,1095364,"T53:451 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : ALL PEOPLE )"
452,799909,"T53:452 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : Christian )"
453,2328,"T53:453 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : Buddhist )"
454,4486,"T53:454 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : Hindu )"
455,5221,"T53:455 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : Jewish )"
456,6852,"T53:456 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : Muslim )"
457,1184,"T53:457 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : Sikh )"
458,2612,"T53:458 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : Any other religion )"
459,193759,"T53:459 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : No religion )"
460,79013,"T53:460 (LIMITING LONG-TERM ILLNESS - Does not have a limiting long-term illness : Religion not stated )"
461,924272,"T53:461 (GENERAL HEALTH - Good Health : ALL PEOPLE )"
462,671795,"T53:462 (GENERAL HEALTH - Good Health : Christian )"
463,1840,"T53:463 (GENERAL HEALTH - Good Health : Buddhist )"
464,3888,"T53:464 (GENERAL HEALTH - Good Health : Hindu )"
465,4405,"T53:465 (GENERAL HEALTH - Good Health : Jewish )"
466,5767,"T53:466 (GENERAL HEALTH - Good Health : Muslim )"
467,1021,"T53:467 (GENERAL HEALTH - Good Health : Sikh )"
468,1948,"T53:468 (GENERAL HEALTH - Good Health : Any other religion )"
469,163217,"T53:469 (GENERAL HEALTH - Good Health : No religion )"
470,70391,"T53:470 (GENERAL HEALTH - Good Health : Religion not stated )"
471,286221,"T53:471 (GENERAL HEALTH - Fairly Good Health : ALL PEOPLE )"
472,220867,"T53:472 (GENERAL HEALTH - Fairly Good Health : Christian )"
473,601,"T53:473 (GENERAL HEALTH - Fairly Good Health : Buddhist )"
474,884,"T53:474 (GENERAL HEALTH - Fairly Good Health : Hindu )"
475,1306,"T53:475 (GENERAL HEALTH - Fairly Good Health : Jewish )"
476,1368,"T53:476 (GENERAL HEALTH - Fairly Good Health : Muslim )"
477,219,"T53:477 (GENERAL HEALTH - Fairly Good Health : Sikh )"
478,1028,"T53:478 (GENERAL HEALTH - Fairly Good Health : Any other religion )"
479,40791,"T53:479 (GENERAL HEALTH - Fairly Good Health : No religion )"
480,19157,"T53:480 (GENERAL HEALTH - Fairly Good Health : Religion not stated )"
481,100342,"T53:481 (GENERAL HEALTH - Not Good Health : ALL PEOPLE )"
482,78896,"T53:482 (GENERAL HEALTH - Not Good Health : Christian )"
483,220,"T53:483 (GENERAL HEALTH - Not Good Health : Buddhist )"
484,262,"T53:484 (GENERAL HEALTH - Not Good Health : Hindu )"
485,498,"T53:485 (GENERAL HEALTH - Not Good Health : Jewish )"
486,466,"T53:486 (GENERAL HEALTH - Not Good Health : Muslim )"
487,85,"T53:487 (GENERAL HEALTH - Not Good Health : Sikh )"
488,512,"T53:488 (GENERAL HEALTH - Not Good Health : Any other religion )"
489,11853,"T53:489 (GENERAL HEALTH - Not Good Health : No religion )"
490,7550,"T53:490 (GENERAL HEALTH - Not Good Health : Religion not stated )"
491,82809,"T53:491 (NS-SeC - 1.  Higher managerial & professional occupations : ALL PEOPLE )"
492,56811,"T53:492 (NS-SeC - 1.  Higher managerial & professional occupations : Christian )"
493,294,"T53:493 (NS-SeC - 1.  Higher managerial & professional occupations : Buddhist )"
494,1009,"T53:494 (NS-SeC - 1.  Higher managerial & professional occupations : Hindu )"
495,655,"T53:495 (NS-SeC - 1.  Higher managerial & professional occupations : Jewish )"
496,693,"T53:496 (NS-SeC - 1.  Higher managerial & professional occupations : Muslim )"
497,176,"T53:497 (NS-SeC - 1.  Higher managerial & professional occupations : Sikh )"
498,273,"T53:498 (NS-SeC - 1.  Higher managerial & professional occupations : Any other religion )"
499,17364,"T53:499 (NS-SeC - 1.  Higher managerial & professional occupations : No religion )"
500,5534,"T53:500 (NS-SeC - 1.  Higher managerial & professional occupations : Religion not stated )"
501,35264,"T53:501 (NS-SeC - 1.1  Large employers and higher managerial occupations : ALL PEOPLE )"
502,25765,"T53:502 (NS-SeC - 1.1  Large employers and higher managerial occupations : Christian )"
503,69,"T53:503 (NS-SeC - 1.1  Large employers and higher managerial occupations : Buddhist )"
504,160,"T53:504 (NS-SeC - 1.1  Large employers and higher managerial occupations : Hindu )"
505,234,"T53:505 (NS-SeC - 1.1  Large employers and higher managerial occupations : Jewish )"
506,129,"T53:506 (NS-SeC - 1.1  Large employers and higher managerial occupations : Muslim )"
507,45,"T53:507 (NS-SeC - 1.1  Large employers and higher managerial occupations : Sikh )"
508,68,"T53:508 (NS-SeC - 1.1  Large employers and higher managerial occupations : Any other religion )"
509,6599,"T53:509 (NS-SeC - 1.1  Large employers and higher managerial occupations : No religion )"
510,2195,"T53:510 (NS-SeC - 1.1  Large employers and higher managerial occupations : Religion not stated )"
511,47545,"T53:511 (NS-SeC - 1.2  Higher professional occupations : ALL PEOPLE )"
512,31046,"T53:512 (NS-SeC - 1.2  Higher professional occupations : Christian )"
513,225,"T53:513 (NS-SeC - 1.2  Higher professional occupations : Buddhist )"
514,849,"T53:514 (NS-SeC - 1.2  Higher professional occupations : Hindu )"
515,421,"T53:515 (NS-SeC - 1.2  Higher professional occupations : Jewish )"
516,564,"T53:516 (NS-SeC - 1.2  Higher professional occupations : Muslim )"
517,131,"T53:517 (NS-SeC - 1.2  Higher professional occupations : Sikh )"
518,205,"T53:518 (NS-SeC - 1.2  Higher professional occupations : Any other religion )"
519,10765,"T53:519 (NS-SeC - 1.2  Higher professional occupations : No religion )"
520,3339,"T53:520 (NS-SeC - 1.2  Higher professional occupations : Religion not stated )"
521,193074,"T53:521 (NS-SeC - 2.  Lower managerial & professional occupations : ALL PEOPLE )"
522,141085,"T53:522 (NS-SeC - 2.  Lower managerial & professional occupations : Christian )"
523,482,"T53:523 (NS-SeC - 2.  Lower managerial & professional occupations : Buddhist )"
524,756,"T53:524 (NS-SeC - 2.  Lower managerial & professional occupations : Hindu )"
525,1162,"T53:525 (NS-SeC - 2.  Lower managerial & professional occupations : Jewish )"
526,795,"T53:526 (NS-SeC - 2.  Lower managerial & professional occupations : Muslim )"
527,210,"T53:527 (NS-SeC - 2.  Lower managerial & professional occupations : Sikh )"
528,706,"T53:528 (NS-SeC - 2.  Lower managerial & professional occupations : Any other religion )"
529,35851,"T53:529 (NS-SeC - 2.  Lower managerial & professional occupations : No religion )"
530,12027,"T53:530 (NS-SeC - 2.  Lower managerial & professional occupations : Religion not stated )"
531,104911,"T53:531 (NS-SeC - 3.  Intermediate occupations : ALL PEOPLE )"
532,79426,"T53:532 (NS-SeC - 3.  Intermediate occupations : Christian )"
533,170,"T53:533 (NS-SeC - 3.  Intermediate occupations : Buddhist )"
534,329,"T53:534 (NS-SeC - 3.  Intermediate occupations : Hindu )"
535,505,"T53:535 (NS-SeC - 3.  Intermediate occupations : Jewish )"
536,353,"T53:536 (NS-SeC - 3.  Intermediate occupations : Muslim )"
537,85,"T53:537 (NS-SeC - 3.  Intermediate occupations : Sikh )"
538,342,"T53:538 (NS-SeC - 3.  Intermediate occupations : Any other religion )"
539,17045,"T53:539 (NS-SeC - 3.  Intermediate occupations : No religion )"
540,6656,"T53:540 (NS-SeC - 3.  Intermediate occupations : Religion not stated )"
541,79764,"T53:541 (NS-SeC - 4.  Small employers and own account workers : ALL PEOPLE )"
542,57558,"T53:542 (NS-SeC - 4.  Small employers and own account workers : Christian )"
543,233,"T53:543 (NS-SeC - 4.  Small employers and own account workers : Buddhist )"
544,490,"T53:544 (NS-SeC - 4.  Small employers and own account workers : Hindu )"
545,667,"T53:545 (NS-SeC - 4.  Small employers and own account workers : Jewish )"
546,628,"T53:546 (NS-SeC - 4.  Small employers and own account workers : Muslim )"
547,156,"T53:547 (NS-SeC - 4.  Small employers and own account workers : Sikh )"
548,252,"T53:548 (NS-SeC - 4.  Small employers and own account workers : Any other religion )"
549,14346,"T53:549 (NS-SeC - 4.  Small employers and own account workers : No religion )"
550,5434,"T53:550 (NS-SeC - 4.  Small employers and own account workers : Religion not stated )"
551,66167,"T53:551 (NS-SeC - 5.  Lower supervisory and technical occupations : ALL PEOPLE )"
552,47849,"T53:552 (NS-SeC - 5.  Lower supervisory and technical occupations : Christian )"
553,119,"T53:553 (NS-SeC - 5.  Lower supervisory and technical occupations : Buddhist )"
554,106,"T53:554 (NS-SeC - 5.  Lower supervisory and technical occupations : Hindu )"
555,136,"T53:555 (NS-SeC - 5.  Lower supervisory and technical occupations : Jewish )"
556,294,"T53:556 (NS-SeC - 5.  Lower supervisory and technical occupations : Muslim )"
557,42,"T53:557 (NS-SeC - 5.  Lower supervisory and technical occupations : Sikh )"
558,218,"T53:558 (NS-SeC - 5.  Lower supervisory and technical occupations : Any other religion )"
559,13054,"T53:559 (NS-SeC - 5.  Lower supervisory and technical occupations : No religion )"
560,4349,"T53:560 (NS-SeC - 5.  Lower supervisory and technical occupations : Religion not stated )"
561,106326,"T53:561 (NS-SeC - 6.  Semi-routine occupations : ALL PEOPLE )"
562,80266,"T53:562 (NS-SeC - 6.  Semi-routine occupations : Christian )"
563,236,"T53:563 (NS-SeC - 6.  Semi-routine occupations : Buddhist )"
564,236,"T53:564 (NS-SeC - 6.  Semi-routine occupations : Hindu )"
565,316,"T53:565 (NS-SeC - 6.  Semi-routine occupations : Jewish )"
566,554,"T53:566 (NS-SeC - 6.  Semi-routine occupations : Muslim )"
567,56,"T53:567 (NS-SeC - 6.  Semi-routine occupations : Sikh )"
568,326,"T53:568 (NS-SeC - 6.  Semi-routine occupations : Any other religion )"
569,17304,"T53:569 (NS-SeC - 6.  Semi-routine occupations : No religion )"
570,7032,"T53:570 (NS-SeC - 6.  Semi-routine occupations : Religion not stated )"
571,72723,"T53:571 (NS-SeC - 7.  Routine occupations : ALL PEOPLE )"
572,52696,"T53:572 (NS-SeC - 7.  Routine occupations : Christian )"
573,148,"T53:573 (NS-SeC - 7.  Routine occupations : Buddhist )"
574,79,"T53:574 (NS-SeC - 7.  Routine occupations : Hindu )"
575,110,"T53:575 (NS-SeC - 7.  Routine occupations : Jewish )"
576,314,"T53:576 (NS-SeC - 7.  Routine occupations : Muslim )"
577,23,"T53:577 (NS-SeC - 7.  Routine occupations : Sikh )"
578,199,"T53:578 (NS-SeC - 7.  Routine occupations : Any other religion )"
579,14023,"T53:579 (NS-SeC - 7.  Routine occupations : No religion )"
580,5131,"T53:580 (NS-SeC - 7.  Routine occupations : Religion not stated )"
581,20290,"T53:581 (NS-SeC - 8.  Never worked or long term unemployed : ALL PEOPLE )"
582,12861,"T53:582 (NS-SeC - 8.  Never worked or long term unemployed : Christian )"
583,122,"T53:583 (NS-SeC - 8.  Never worked or long term unemployed : Buddhist )"
584,168,"T53:584 (NS-SeC - 8.  Never worked or long term unemployed : Hindu )"
585,96,"T53:585 (NS-SeC - 8.  Never worked or long term unemployed : Jewish )"
586,659,"T53:586 (NS-SeC - 8.  Never worked or long term unemployed : Muslim )"
587,48,"T53:587 (NS-SeC - 8.  Never worked or long term unemployed : Sikh )"
588,76,"T53:588 (NS-SeC - 8.  Never worked or long term unemployed : Any other religion )"
589,4129,"T53:589 (NS-SeC - 8.  Never worked or long term unemployed : No religion )"
590,2131,"T53:590 (NS-SeC - 8.  Never worked or long term unemployed : Religion not stated )"
591,14088,"T53:591 (NS-SeC - L14.1  Never worked : ALL PEOPLE )"
592,8777,"T53:592 (NS-SeC - L14.1  Never worked : Christian )"
593,97,"T53:593 (NS-SeC - L14.1  Never worked : Buddhist )"
594,144,"T53:594 (NS-SeC - L14.1  Never worked : Hindu )"
595,67,"T53:595 (NS-SeC - L14.1  Never worked : Jewish )"
596,580,"T53:596 (NS-SeC - L14.1  Never worked : Muslim )"
597,42,"T53:597 (NS-SeC - L14.1  Never worked : Sikh )"
598,33,"T53:598 (NS-SeC - L14.1  Never worked : Any other religion )"
599,2675,"T53:599 (NS-SeC - L14.1  Never worked : No religion )"
600,1673,"T53:600 (NS-SeC - L14.1  Never worked : Religion not stated )"
601,6202,"T53:601 (NS-SeC - L14.2  Long term unemployed : ALL PEOPLE )"
602,4084,"T53:602 (NS-SeC - L14.2  Long term unemployed : Christian )"
603,25,"T53:603 (NS-SeC - L14.2  Long term unemployed : Buddhist )"
604,24,"T53:604 (NS-SeC - L14.2  Long term unemployed : Hindu )"
605,29,"T53:605 (NS-SeC - L14.2  Long term unemployed : Jewish )"
606,79,"T53:606 (NS-SeC - L14.2  Long term unemployed : Muslim )"
607,6,"T53:607 (NS-SeC - L14.2  Long term unemployed : Sikh )"
608,43,"T53:608 (NS-SeC - L14.2  Long term unemployed : Any other religion )"
609,1454,"T53:609 (NS-SeC - L14.2  Long term unemployed : No religion )"
610,458,"T53:610 (NS-SeC - L14.2  Long term unemployed : Religion not stated )"
611,322987,"T53:611 (NS-SeC - Not classified : ALL PEOPLE )"
612,264890,"T53:612 (NS-SeC - Not classified : Christian )"
613,582,"T53:613 (NS-SeC - Not classified : Buddhist )"
614,829,"T53:614 (NS-SeC - Not classified : Hindu )"
615,1561,"T53:615 (NS-SeC - Not classified : Jewish )"
616,1223,"T53:616 (NS-SeC - Not classified : Muslim )"
617,233,"T53:617 (NS-SeC - Not classified : Sikh )"
618,838,"T53:618 (NS-SeC - Not classified : Any other religion )"
619,27629,"T53:619 (NS-SeC - Not classified : No religion )"
620,25202,"T53:620 (NS-SeC - Not classified : Religion not stated )"
621,47957,"T53:621 (NS-SeC - L15.  Full-time students : ALL PEOPLE )"
622,31354,"T53:622 (NS-SeC - L15.  Full-time students : Christian )"
623,295,"T53:623 (NS-SeC - L15.  Full-time students : Buddhist )"
624,436,"T53:624 (NS-SeC - L15.  Full-time students : Hindu )"
625,295,"T53:625 (NS-SeC - L15.  Full-time students : Jewish )"
626,800,"T53:626 (NS-SeC - L15.  Full-time students : Muslim )"
627,132,"T53:627 (NS-SeC - L15.  Full-time students : Sikh )"
628,179,"T53:628 (NS-SeC - L15.  Full-time students : Any other religion )"
629,10702,"T53:629 (NS-SeC - L15.  Full-time students : No religion )"
630,3764,"T53:630 (NS-SeC - L15.  Full-time students : Religion not stated )"
631,275030,"T53:631 (NS-SeC - L17.  Not classifiable for other reasons : ALL PEOPLE )"
632,233536,"T53:632 (NS-SeC - L17.  Not classifiable for other reasons : Christian )"
633,287,"T53:633 (NS-SeC - L17.  Not classifiable for other reasons : Buddhist )"
634,393,"T53:634 (NS-SeC - L17.  Not classifiable for other reasons : Hindu )"
635,1266,"T53:635 (NS-SeC - L17.  Not classifiable for other reasons : Jewish )"
636,423,"T53:636 (NS-SeC - L17.  Not classifiable for other reasons : Muslim )"
637,101,"T53:637 (NS-SeC - L17.  Not classifiable for other reasons : Sikh )"
638,659,"T53:638 (NS-SeC - L17.  Not classifiable for other reasons : Any other religion )"
639,16927,"T53:639 (NS-SeC - L17.  Not classifiable for other reasons : No religion )"
640,21438,"T53:640 (NS-SeC - L17.  Not classifiable for other reasons : Religion not stated )"
641,261784,"T53:641 (NS-SeC - Not aged 16 to 74 : ALL PEOPLE )"
642,178116,"T53:642 (NS-SeC - Not aged 16 to 74 : Christian )"
643,275,"T53:643 (NS-SeC - Not aged 16 to 74 : Buddhist )"
644,1032,"T53:644 (NS-SeC - Not aged 16 to 74 : Hindu )"
645,1001,"T53:645 (NS-SeC - Not aged 16 to 74 : Jewish )"
646,2088,"T53:646 (NS-SeC - Not aged 16 to 74 : Muslim )"
647,296,"T53:647 (NS-SeC - Not aged 16 to 74 : Sikh )"
648,258,"T53:648 (NS-SeC - Not aged 16 to 74 : Any other religion )"
649,55116,"T53:649 (NS-SeC - Not aged 16 to 74 : No religion )"
650,23602,"T53:650 (NS-SeC - Not aged 16 to 74 : Religion not stated )"
651,104695,"T53:651 (OCCUPATION - 1. Managers and Senior Officials : ALL PEOPLE )"
652,76446,"T53:652 (OCCUPATION - 1. Managers and Senior Officials : Christian )"
653,222,"T53:653 (OCCUPATION - 1. Managers and Senior Officials : Buddhist )"
654,671,"T53:654 (OCCUPATION - 1. Managers and Senior Officials : Hindu )"
655,836,"T53:655 (OCCUPATION - 1. Managers and Senior Officials : Jewish )"
656,627,"T53:656 (OCCUPATION - 1. Managers and Senior Officials : Muslim )"
657,207,"T53:657 (OCCUPATION - 1. Managers and Senior Officials : Sikh )"
658,276,"T53:658 (OCCUPATION - 1. Managers and Senior Officials : Any other religion )"
659,19015,"T53:659 (OCCUPATION - 1. Managers and Senior Officials : No religion )"
660,6395,"T53:660 (OCCUPATION - 1. Managers and Senior Officials : Religion not stated )"
661,61975,"T53:661 (OCCUPATION - 2. Professional Occupations : ALL PEOPLE )"
662,41540,"T53:662 (OCCUPATION - 2. Professional Occupations : Christian )"
663,268,"T53:663 (OCCUPATION - 2. Professional Occupations : Buddhist )"
664,816,"T53:664 (OCCUPATION - 2. Professional Occupations : Hindu )"
665,450,"T53:665 (OCCUPATION - 2. Professional Occupations : Jewish )"
666,607,"T53:666 (OCCUPATION - 2. Professional Occupations : Muslim )"
667,155,"T53:667 (OCCUPATION - 2. Professional Occupations : Sikh )"
668,277,"T53:668 (OCCUPATION - 2. Professional Occupations : Any other religion )"
669,13573,"T53:669 (OCCUPATION - 2. Professional Occupations : No religion )"
670,4289,"T53:670 (OCCUPATION - 2. Professional Occupations : Religion not stated )"
671,86583,"T53:671 (OCCUPATION - 3. Associate Professional and Technical Occupations : ALL PEOPLE )"
672,61874,"T53:672 (OCCUPATION - 3. Associate Professional and Technical Occupations : Christian )"
673,276,"T53:673 (OCCUPATION - 3. Associate Professional and Technical Occupations : Buddhist )"
674,400,"T53:674 (OCCUPATION - 3. Associate Professional and Technical Occupations : Hindu )"
675,558,"T53:675 (OCCUPATION - 3. Associate Professional and Technical Occupations : Jewish )"
676,322,"T53:676 (OCCUPATION - 3. Associate Professional and Technical Occupations : Muslim )"
677,87,"T53:677 (OCCUPATION - 3. Associate Professional and Technical Occupations : Sikh )"
678,352,"T53:678 (OCCUPATION - 3. Associate Professional and Technical Occupations : Any other religion )"
679,17125,"T53:679 (OCCUPATION - 3. Associate Professional and Technical Occupations : No religion )"
680,5589,"T53:680 (OCCUPATION - 3. Associate Professional and Technical Occupations : Religion not stated )"
681,95129,"T53:681 (OCCUPATION - 4. Administrative and Secretarial Occupations : ALL PEOPLE )"
682,72495,"T53:682 (OCCUPATION - 4. Administrative and Secretarial Occupations : Christian )"
683,131,"T53:683 (OCCUPATION - 4. Administrative and Secretarial Occupations : Buddhist )"
684,296,"T53:684 (OCCUPATION - 4. Administrative and Secretarial Occupations : Hindu )"
685,510,"T53:685 (OCCUPATION - 4. Administrative and Secretarial Occupations : Jewish )"
686,287,"T53:686 (OCCUPATION - 4. Administrative and Secretarial Occupations : Muslim )"
687,83,"T53:687 (OCCUPATION - 4. Administrative and Secretarial Occupations : Sikh )"
688,302,"T53:688 (OCCUPATION - 4. Administrative and Secretarial Occupations : Any other religion )"
689,15030,"T53:689 (OCCUPATION - 4. Administrative and Secretarial Occupations : No religion )"
690,5995,"T53:690 (OCCUPATION - 4. Administrative and Secretarial Occupations : Religion not stated )"
691,75953,"T53:691 (OCCUPATION - 5. Skilled Trades Occupations : ALL PEOPLE )"
692,54163,"T53:692 (OCCUPATION - 5. Skilled Trades Occupations : Christian )"
693,187,"T53:693 (OCCUPATION - 5. Skilled Trades Occupations : Buddhist )"
694,72,"T53:694 (OCCUPATION - 5. Skilled Trades Occupations : Hindu )"
695,142,"T53:695 (OCCUPATION - 5. Skilled Trades Occupations : Jewish )"
696,339,"T53:696 (OCCUPATION - 5. Skilled Trades Occupations : Muslim )"
697,40,"T53:697 (OCCUPATION - 5. Skilled Trades Occupations : Sikh )"
698,173,"T53:698 (OCCUPATION - 5. Skilled Trades Occupations : Any other religion )"
699,15619,"T53:699 (OCCUPATION - 5. Skilled Trades Occupations : No religion )"
700,5218,"T53:700 (OCCUPATION - 5. Skilled Trades Occupations : Religion not stated )"
701,41946,"T53:701 (OCCUPATION - 6. Personal Service Occupations : ALL PEOPLE )"
702,32494,"T53:702 (OCCUPATION - 6. Personal Service Occupations : Christian )"
703,70,"T53:703 (OCCUPATION - 6. Personal Service Occupations : Buddhist )"
704,106,"T53:704 (OCCUPATION - 6. Personal Service Occupations : Hindu )"
705,144,"T53:705 (OCCUPATION - 6. Personal Service Occupations : Jewish )"
706,155,"T53:706 (OCCUPATION - 6. Personal Service Occupations : Muslim )"
707,14,"T53:707 (OCCUPATION - 6. Personal Service Occupations : Sikh )"
708,161,"T53:708 (OCCUPATION - 6. Personal Service Occupations : Any other religion )"
709,6235,"T53:709 (OCCUPATION - 6. Personal Service Occupations : No religion )"
710,2567,"T53:710 (OCCUPATION - 6. Personal Service Occupations : Religion not stated )"
711,44830,"T53:711 (OCCUPATION - 7. Sales and Customer Service Occupations : ALL PEOPLE )"
712,33166,"T53:712 (OCCUPATION - 7. Sales and Customer Service Occupations : Christian )"
713,90,"T53:713 (OCCUPATION - 7. Sales and Customer Service Occupations : Buddhist )"
714,192,"T53:714 (OCCUPATION - 7. Sales and Customer Service Occupations : Hindu )"
715,272,"T53:715 (OCCUPATION - 7. Sales and Customer Service Occupations : Jewish )"
